field,label,pillar,preferred_provider_id,fallback_provider_id,collection_hint,minimum_evidence,notes
gross_income,Gross income,pressure,national_statistical_office,city_official_portal,"Use disposable or median household income at city, metro, or closest urban functional-area level.",Official city or metro income table with a clear reference year and local-currency definition.,Avoid lifestyle blogs or commercial cost-of-living sites. National statistical microdata is acceptable if urban breakdowns are official.
di_ppp_raw,Disposable income PPP (Raw),pressure,derived,world_bank,Disposable income in PPP terms. Computed from components or taken from official regional surveys.,Official income survey or a transparently documented combination of official revenue and cost sources.,"A core V3 metric. If computed manually, ensure all components (rent, food, etc.) are cited."
rent,Rent,pressure,city_official_portal,national_statistical_office,Use official advertised or observed urban rent benchmarks for a standard long-stay dwelling.,"Official city, metro, or national housing dataset with dwelling type or square-metre basis stated.","If multiple dwelling sizes are available, document the chosen standard in notes before entering the number."
utilities,Utilities,pressure,city_official_portal,subnational_official_portal,"Use official household utility tariffs or annual service-cost tables covering electricity, water, or bundled utilities.",Official tariff schedule or utility regulator table with billing unit stated.,"If utilities are split across agencies, note the blend used in City_Inputs."
transit_cost,Transit cost,pressure,city_official_portal,subnational_official_portal,Use the official adult fare for the standard recurring urban pass or ticket chosen for the method.,Official transport authority fare table with validity period stated.,Do not use trip-planner screenshots or resale pages as the source of record.
internet_cost,Internet cost,pressure,national_statistical_office,subnational_official_portal,Use official communications regulator or statistical releases for household broadband pricing or affordability.,Official regulator or statistical publication with broadband package definition and date.,Commercial ISP landing pages are a weak fallback and should be avoided when official regulator data exists.
food_cost,Food cost,pressure,national_statistical_office,city_official_portal,"Use official consumer-price baskets, municipal market surveys, or urban CPI components.",Official basket or price index release with city or metro scope explained.,Document whether the number is a direct basket cost or an indexed proxy.
housing_burden_raw,Housing burden raw,pressure,city_official_portal,national_statistical_office,Use official housing-cost share or combine official rent and official income sources transparently.,Official burden ratio or a clearly documented manual combination of official rent and income sources.,"If you compute the burden manually, cite both upstream sources in notes."
household_debt_burden_raw,Household debt burden raw,pressure,national_statistical_office,oecd_data,"Use official household debt, arrears, or credit-burden indicators at city, metro, or closest functional-area level.",Official household finance or credit-statistics release with geography and year stated.,"If only regional or national figures exist, mark that explicitly in notes before reuse."
working_time_pressure_raw,Working time pressure raw,pressure,ilo_ilostat,national_statistical_office,"Use average weekly hours, excessive-hours share, or equivalent official work-time pressure indicator.","Official labour-force or work-time release with geography, unit, and reference period stated.",Prefer urban breakdowns; otherwise use the closest official metro or regional labour market release.
